order_id,customer_id,postal_code,product_id,sales,quantity,discount,profit,category,subcategory,product_name,order_date,ship_date,ship_mode,customer_name,segment,country,city,state_id,region
CA-2019-146633,TG-21310,90049,OFF-BI-10003527,1016.79200,1,0.20,381.297,"Office Supplies",Binders,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","2019-11-15 00:00:00","2019-11-17 00:00:00","Second Class","Toby Gnade",Consumer,"United States","Los Angeles",California,West
CA-2019-146633,TG-21310,90049,OFF-BI-10003527,1016.79200,1,0.20,381.297,"Office Supplies",Binders,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","2019-11-15 00:00:00","2019-11-17 00:00:00","Second Class","Toby Gnade",Consumer,"United States","Los Angeles",California,West
CA-2019-146633,TG-21310,90049,OFF-BI-10003527,1016.79200,1,0.20,381.297,"Office Supplies",Binders,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","2019-11-15 00:00:00","2019-11-17 00:00:00","Second Class","Toby Gnade",Consumer,"United States","Los Angeles",California,West
CA-2019-146633,TG-21310,90049,OFF-BI-10003527,1016.79200,1,0.20,381.297,"Office Supplies",Binders,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","2019-11-15 00:00:00","2019-11-17 00:00:00","Second Class","Toby Gnade",Consumer,"United States","Los Angeles",California,West
US-2019-116729,GK-14620,90049,TEC-PH-10002200,2575.94400,7,0.20,257.594,Technology,Phones,"Samsung Galaxy Note 2","2019-12-25 00:00:00","2019-12-28 00:00:00","First Class","Grace Kelly",Corporate,"United States","Los Angeles",California,West
US-2019-116729,GK-14620,90049,TEC-PH-10002200,2575.94400,7,0.20,257.594,Technology,Phones,"Samsung Galaxy Note 2","2019-12-25 00:00:00","2019-12-28 00:00:00","First Class","Grace Kelly",Corporate,"United States","Los Angeles",California,West
US-2019-116729,GK-14620,90049,TEC-PH-10002200,2575.94400,7,0.20,257.594,Technology,Phones,"Samsung Galaxy Note 2","2019-12-25 00:00:00","2019-12-28 00:00:00","First Class","Grace Kelly",Corporate,"United States","Los Angeles",California,West
US-2019-116729,GK-14620,90049,TEC-PH-10002200,2575.94400,7,0.20,257.594,Technology,Phones,"Samsung Galaxy Note 2","2019-12-25 00:00:00","2019-12-28 00:00:00","First Class","Grace Kelly",Corporate,"United States","Los Angeles",California,West
CA-2018-140410,CM-12655,90008,TEC-PH-10003580,1212.84800,7,0.20,106.124,Technology,Phones,"Cisco IP Phone 7961G-GE VoIP phone","2018-11-03 00:00:00","2018-11-07 00:00:00","Standard Class","Corinna Mitchell","Home Office","United States","Los Angeles",California,West
CA-2018-140410,CM-12655,90008,TEC-PH-10003580,1212.84800,7,0.20,106.124,Technology,Phones,"Cisco IP Phone 7961G-GE VoIP phone","2018-11-03 00:00:00","2018-11-07 00:00:00","Standard Class","Corinna Mitchell","Home Office","United States","Los Angeles",California,West
